words,no_of_char,syllable_count,Frequency_of_occurrence,"presence_of_ch,sh,th,st,f",part_of_speech,pronounce_g_j,Pronounce_c_k,overall_label
ABILITIES,1,1,0,0,1,0,0,0
ABORIGINAL,1,1,0,0,1,1,0,1
ABU DHABI,1,1,1,0,1,0,0,1
ACADEMY,1,1,1,0,1,0,1,1
ACCESS,0,0,1,0,1,0,1,1
ACCIDENT,1,1,1,0,1,0,1,1
ACCOMPLISHMENT,1,1,1,1,1,0,1,1
ACCORDING,1,1,1,0,2,1,1,1
ACCOUNT,1,0,0,0,1,0,1,0
ACCUSED,1,0,1,0,2,0,1,1
ACT,0,0,0,0,1,0,1,0
ACTIVE,0,0,0,0,3,0,1,0
ACTIVIST,1,1,1,1,1,0,1,1
ACTIVISTS,1,1,1,1,1,0,1,1
ACTOR,0,0,1,0,1,0,1,0
ACTRESS,1,0,1,0,1,0,1,1
ACTS,0,0,1,0,2,0,1,0
ADDITION,1,1,1,0,1,0,0,1
ADDRESS,1,0,1,0,1,0,0,0
ADMINISTRATION,1,1,1,1,1,0,0,1
ADOPTION,1,1,1,0,1,0,0,1
AERATED,1,0,1,0,1,0,0,0
AFFORDABLE,1,1,1,1,1,0,0,1
AGGRESSION,1,1,1,0,1,1,0,1
AGREED,0,0,1,0,2,1,0,0
AIR,0,0,1,0,1,0,0,0
AIRPORT,1,0,1,0,1,0,0,0
ALCHEMICAL,1,1,1,1,3,0,1,1
ALTERED,1,0,1,0,3,0,0,1
AMATEUR,1,1,1,0,3,0,0,1
AMUSEMENT,1,1,1,0,1,0,0,1
APPARENTLY,1,1,1,0,4,0,0,1
APPEARANCE,1,1,1,0,1,0,1,1
ARAB,0,0,1,0,1,0,0,0
ARCHBISHOP,1,1,1,1,1,0,1,1
AREA,0,0,1,0,1,0,0,0
ARMY,0,0,1,0,1,0,0,0
AROVELL,1,1,1,0,1,0,0,1
ART,0,0,1,0,1,0,0,0
ARTIST,0,0,1,1,1,0,0,0
ASIAN,0,0,1,0,3,0,0,0
ASKED,0,0,1,0,2,0,1,0
ATTRACTIONS,1,1,1,0,1,0,1,1
AUSTRALIA,1,1,1,1,1,0,0,1
AUSTRIAN,1,1,1,1,3,0,0,1
AUTHORS,1,0,1,1,1,0,0,1
AUTO,0,0,1,0,1,0,0,0
AVAILABLE,1,1,1,0,3,0,0,1
AVENUES,1,1,1,0,1,0,0,1
AWAKENED,1,1,1,0,2,0,1,1
AWARD,0,0,1,0,1,0,0,0
BACK,0,0,0,0,4,0,1,0
BAROQUE,1,1,0,0,1,0,0,1
BEACON,0,1,0,1,1,0,1,0
BEAUTY,0,0,1,0,1,0,0,0
BEETHOVEN,1,1,1,1,1,0,0,1
BELOVED,1,0,1,0,3,0,0,1
BEST,0,0,1,1,1,0,0,0
BIND,0,0,1,0,2,0,0,0
BIOLOGY,1,1,1,0,1,1,0,1
BLACK,0,0,0,0,3,0,1,0
BLOCKED,1,0,1,0,2,0,1,1
BLOODIED,1,0,1,0,3,0,0,1
BOND,0,0,1,0,1,0,0,0
BOOK,0,0,0,0,1,0,1,0
BOYS,0,0,1,0,1,0,0,0
BRANCHES,1,0,1,1,1,0,1,1
BREECHES,1,0,1,1,1,0,1,1
BRITISH,1,0,1,1,3,0,0,1
BROKERED,1,0,1,0,2,0,1,1
BROUGHT,1,0,1,0,2,1,0,1
BROWN,0,0,1,0,3,0,0,0
BRUCKNER,1,0,1,0,1,0,1,1
BUCK,0,0,0,0,1,0,1,0
BUILT,0,0,1,0,2,0,0,0
CALLED,0,0,1,0,2,0,1,0
CALM,0,0,1,0,2,0,1,0
CAMPUS,0,0,0,0,1,0,1,0
CANADIAN,1,1,1,0,3,0,1,1
CANCER,0,0,0,0,1,0,1,0
CAPACITY,1,1,1,0,1,0,1,1
CASE,0,0,1,0,1,0,1,0
CATHEDRAL,1,1,1,1,1,0,1,1
CAUSED,0,0,1,0,2,0,1,0
CENTER,0,0,1,0,1,0,1,0
CENTRAL,1,0,1,0,3,0,1,1
